2.1000E-02,1.87E+00,8.86E+01
3.1770E-02,2.88E+00,8.79E+01
4.8062E-02,4.44E+00,8.72E+01
7.2711E-02,6.63E+00,8.61E+01
1.1000E-01,9.94E+00,8.42E+01
1.3249E-01,1.20E+01,8.39E+01
1.5959E-01,1.41E+01,8.35E+01
1.9222E-01,1.71E+01,7.99E+01
2.3153E-01,2.07E+01,8.30E+01
2.7888E-01,2.45E+01,7.59E+01
3.3590E-01,2.81E+01,7.53E+01
4.0459E-01,3.47E+01,7.07E+01
4.8733E-01,4.06E+01,6.69E+01
5.8698E-01,4.71E+01,6.24E+01
7.0702E-01,5.42E+01,5.72E+01
8.5160E-01,6.15E+01,5.22E+01
1.0257E+00,6.78E+01,4.73E+01
1.2355E+00,7.46E+01,4.16E+01
1.4881E+00,8.07E+01,3.64E+01
1.7925E+00,8.45E+01,3.04E+01
2.1590E+00,8.93E+01,2.68E+01
2.6005E+00,9.22E+01,2.22E+01
3.1323E+00,9.42E+01,1.85E+01
3.7728E+00,9.56E+01,1.50E+01
4.5443E+00,9.70E+01,1.24E+01
5.4736E+00,9.78E+01,9.90E+00
6.5929E+00,9.84E+01,7.70E+00
7.9411E+00,9.89E+01,5.80E+00
9.5649E+00,9.92E+01,4.05E+00
1.1521E+01,9.93E+01,2.39E+00
1.3877E+01,9.95E+01,9.22E-01
1.6715E+01,9.97E+01,-7.17E-01
2.0132E+01,9.96E+01,-2.16E+00
2.4249E+01,9.98E+01,-3.82E+00
2.9208E+01,9.97E+01,-5.57E+00
3.5181E+01,9.98E+01,-7.45E+00
4.2375E+01,9.96E+01,-9.72E+00
5.1041E+01,9.85E+01,-1.23E+01
6.1478E+01,9.97E+01,-1.51E+01
7.4050E+01,9.99E+01,-1.86E+01
8.9192E+01,9.99E+01,-2.27E+01
1.0743E+02,1.00E+02,-2.76E+01
1.2940E+02,1.00E+02,-3.55E+01
1.5586E+02,1.00E+02,-4.06E+01
1.8773E+02,1.00E+02,-4.92E+01
2.2612E+02,1.00E+02,-5.96E+01
2.7236E+02,1.00E+02,-7.22E+01
3.2806E+02,1.01E+02,-8.72E+01
3.9514E+02,1.00E+02,-1.07E+02
4.7595E+02,9.87E+01,-1.30E+02
5.7328E+02,9.56E+01,-1.59E+02
6.9050E+02,9.04E+01,1.66E+02
8.3171E+02,8.29E+01,1.21E+02
1.0018E+03,7.05E+01,6.21E+01
