2.1000E-02,1.8880E+00,8.8508E+01
3.1770E-02,2.9220E+00,8.8257E+01
4.8062E-02,4.4240E+00,8.7365E+01
7.2711E-02,6.6750E+00,8.6117E+01
1.1000E-01,1.0060E+01,8.4184E+01
1.3249E-01,1.1740E+01,8.1950E+01
1.5959E-01,1.4250E+01,8.2485E+01
1.9222E-01,1.7300E+01,7.9947E+01
2.3153E-01,2.0910E+01,7.9470E+01
2.7888E-01,2.4480E+01,7.6720E+01
3.3590E-01,2.9950E+01,7.3428E+01
4.0459E-01,3.4940E+01,7.0099E+01
4.8733E-01,4.1100E+01,6.6540E+01
5.8698E-01,4.7720E+01,6.1495E+01
7.0702E-01,5.4500E+01,5.6642E+01
8.5160E-01,6.1600E+01,5.1843E+01
1.0257E+00,6.8700E+01,4.6632E+01
1.2355E+00,7.5050E+01,4.1138E+01
1.4881E+00,8.0850E+01,3.5869E+01
1.7925E+00,8.5500E+01,3.1045E+01
2.1590E+00,8.9450E+01,2.6032E+01
2.6005E+00,9.2150E+01,2.1985E+01
3.1323E+00,9.4300E+01,1.8203E+01
3.7728E+00,9.6100E+01,1.5166E+01
4.5443E+00,9.7150E+01,1.2296E+01
5.4736E+00,9.8100E+01,9.8364E+00
6.5929E+00,9.8450E+01,7.7437E+00
7.9411E+00,9.8950E+01,5.7421E+00
9.5649E+00,9.9300E+01,4.0494E+00
1.1521E+01,9.9550E+01,2.3685E+00
1.3877E+01,9.9650E+01,8.7732E-01
1.6715E+01,9.9700E+01,-6.0060E-01
2.0132E+01,9.9800E+01,-2.1583E+00
2.4249E+01,9.9850E+01,-3.7296E+00
2.9208E+01,1.0000E+02,-5.4912E+00
3.5181E+01,1.0060E+02,-7.4425E+00
4.2375E+01,1.0060E+02,-9.6728E+00
5.1041E+01,9.9850E+01,-1.2310E+01
6.1478E+01,9.9850E+01,-1.5056E+01
7.4050E+01,1.0000E+02,-1.8454E+01
8.9192E+01,9.9950E+01,-2.2513E+01
1.0743E+02,1.0010E+02,-2.7385E+01
1.2940E+02,1.0010E+02,-3.3269E+01
1.5586E+02,1.0010E+02,-4.0322E+01
1.8773E+02,1.0030E+02,-4.8803E+01
2.2612E+02,1.0040E+02,-5.9090E+01
2.7236E+02,1.0040E+02,-7.1597E+01
3.2806E+02,1.0060E+02,-8.6563E+01
3.9514E+02,1.0060E+02,-1.0591E+02
4.7595E+02,9.9100E+01,-1.2908E+02
5.7328E+02,9.6300E+01,-1.5758E+02
6.9050E+02,9.1250E+01,1.6707E+02
8.3171E+02,8.3750E+01,1.2257E+02
1.0018E+03,7.0400E+01,6.2811E+01
