2.1000E-02,1.9820E+00,8.7263E+01
3.1770E-02,2.9080E+00,8.8339E+01
4.8062E-02,4.3990E+00,8.7523E+01
7.2711E-02,6.6350E+00,8.6289E+01
1.1000E-01,1.0020E+01,8.4231E+01
1.3249E-01,1.1940E+01,8.3785E+01
1.5959E-01,1.4350E+01,8.0657E+01
1.9222E-01,1.7420E+01,8.0170E+01
2.3153E-01,2.0440E+01,7.8153E+01
2.7888E-01,2.4740E+01,7.5628E+01
3.3590E-01,2.9570E+01,7.3234E+01
4.0459E-01,3.4720E+01,7.0033E+01
4.8733E-01,4.0740E+01,6.6488E+01
5.8698E-01,4.7380E+01,6.1899E+01
7.0702E-01,5.4300E+01,5.6842E+01
8.5160E-01,6.1500E+01,5.1895E+01
1.0257E+00,6.8500E+01,4.6410E+01
1.2355E+00,7.4950E+01,4.1226E+01
1.4881E+00,8.0350E+01,3.6127E+01
1.7925E+00,8.5250E+01,3.1000E+01
2.1590E+00,8.9250E+01,2.6140E+01
2.6005E+00,9.2150E+01,2.2025E+01
3.1323E+00,9.4450E+01,1.8393E+01
3.7728E+00,9.6050E+01,1.5165E+01
4.5443E+00,9.7250E+01,1.2271E+01
5.4736E+00,9.8200E+01,9.7895E+00
6.5929E+00,9.8700E+01,7.6168E+00
7.9411E+00,9.9050E+01,5.6673E+00
9.5649E+00,9.9400E+01,3.9577E+00
1.1521E+01,9.9650E+01,2.3504E+00
1.3877E+01,9.9800E+01,8.1195E-01
1.6715E+01,9.9900E+01,-7.7356E-01
2.0132E+01,9.9900E+01,-2.3089E+00
2.4249E+01,1.0000E+02,-3.9322E+00
2.9208E+01,1.0000E+02,-5.7157E+00
3.5181E+01,1.0000E+02,-7.6545E+00
4.2375E+01,9.9800E+01,-9.9930E+00
5.1041E+01,9.9450E+01,-1.2821E+01
6.1478E+01,1.0000E+02,-1.5477E+01
7.4050E+01,1.0010E+02,-1.9089E+01
8.9192E+01,1.0010E+02,-2.3230E+01
1.0743E+02,1.0020E+02,-2.3080E+01
1.2940E+02,1.0020E+02,-3.4365E+01
1.5586E+02,1.0020E+02,-4.1620E+01
1.8773E+02,1.0030E+02,-5.0435E+01
2.2612E+02,1.0020E+02,-6.1116E+01
2.7236E+02,1.0010E+02,-7.4089E+01
3.2806E+02,9.9900E+01,-8.9881E+01
3.9514E+02,9.8700E+01,-1.0962E+02
4.7595E+02,9.6150E+01,-1.3357E+02
5.7328E+02,9.1700E+01,-1.6270E+02
6.9050E+02,8.5200E+01,1.6189E+02
8.3171E+02,7.8100E+01,1.1781E+02
1.0018E+03,7.0550E+01,5.5097E+01
